"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При вводе двух разных предустановленных адресов в поля ""Откуда"" и ""Куда"" на карте отображаются две точки начала и конца маршрута","2128","Проверка отображения точек маршрута на карте при вводе адресов ОТКУДА и КУДА","tests","Fri Sep 12 20:25:29 UTC 2025","passed","Fri Sep 12 20:25:31 UTC 2025","TestMainPage","test_main_page","",""
"Открывается форма заказа со всеми 6 тарифами по ТЗ, один из них активный","2967","Проверка отображения блока заказа такси","tests","Fri Sep 12 20:25:34 UTC 2025","passed","Fri Sep 12 20:25:37 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"Выбираем тариф Рабочий, включаем чекбокс Столик для ноутбука, нажимаем кнопку Ввести номер и заказать - Появляется окно ожидания машины (проверить элементы по ТЗ)","4320","Проверка наличия элементов блока ожидания заказа","tests","Fri Sep 12 20:26:33 UTC 2025","passed","Fri Sep 12 20:26:37 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"Нажать кнопку Отмена - Окно закрывается","33335","Проверка нажатия кнопки Отмена","tests","Fri Sep 12 20:27:55 UTC 2025","skipped","Fri Sep 12 20:28:28 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При наведении на иконку i в правом верхнем углу каждого тарифа отображается всплывающее окно с описанием тарифа, описание тарифа соответствует ТЗ","3875","Проверка описания тарифа в сплывающем окне информации требованиям ТЗ","tests","Fri Sep 12 20:26:19 UTC 2025","passed","Fri Sep 12 20:26:23 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При наведении на иконку i в правом верхнем углу каждого тарифа отображается всплывающее окно с описанием тарифа, описание тарифа соответствует ТЗ","3516","Проверка описания тарифа в сплывающем окне информации требованиям ТЗ","tests","Fri Sep 12 20:26:03 UTC 2025","skipped","Fri Sep 12 20:26:06 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При выборе вида маршрута Быстрый активна кнопка Вызвать такси","3051","Проверка появления кнопки Вызвать такси при выборе режима Быстрый","tests","Fri Sep 12 20:29:04 UTC 2025","passed","Fri Sep 12 20:29:07 UTC 2025","TestRouteSelectionPage","test_route_selection_page","",""
"При вводе двух разных предустановленных адресов в поля ""Откуда"" и ""Куда"" под выбором адресов отображается блок с выбором маршрута","2785","Проверка отображения блока выбора маршрута после ввода адресов ОТКУДА и КУДА","tests","Fri Sep 12 20:28:32 UTC 2025","passed","Fri Sep 12 20:28:34 UTC 2025","TestRouteSelectionPage","test_route_selection_page","",""
"Дождаться окончания таймера поиска машины - Отображается окно совершенного заказа (проверить элементы по ТЗ)","36145","Проверка наличия элементов блока деталей заказа","tests","Fri Sep 12 20:26:41 UTC 2025","passed","Fri Sep 12 20:27:17 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При выборе вида маршрута Свой, типа передвижения Драйв активна кнопка Забронировать","3460","Проверка появления кнопки Забронировать при выборе режима Свой и типа Драйв","tests","Fri Sep 12 20:29:10 UTC 2025","passed","Fri Sep 12 20:29:14 UTC 2025","TestRouteSelectionPage","test_route_selection_page","",""
"При вводе двух разных предустановленных адресов в поля ""Откуда"" и ""Куда"" на карте отображаются две точки начала и конца маршрута","2510","Проверка отображения точек маршрута на карте при вводе адресов ОТКУДА и КУДА","tests","Fri Sep 12 20:25:23 UTC 2025","passed","Fri Sep 12 20:25:26 UTC 2025","TestMainPage","test_main_page","",""
"Под тарифами отображается блок с полями Телефон, Способ оплаты, Комментарий водителю, Требования к заказу Заказ тарифа Такси","3706","Проверка наличия элементов блока опций заказа","tests","Fri Sep 12 20:26:26 UTC 2025","passed","Fri Sep 12 20:26:30 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При наведении на иконку i в правом верхнем углу каждого тарифа отображается всплывающее окно с описанием тарифа, описание тарифа соответствует ТЗ","3483","Проверка описания тарифа в сплывающем окне информации требованиям ТЗ","tests","Fri Sep 12 20:25:41 UTC 2025","passed","Fri Sep 12 20:25:44 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При наведении на иконку i в правом верхнем углу каждого тарифа отображается всплывающее окно с описанием тарифа, описание тарифа соответствует ТЗ","3754","Проверка описания тарифа в сплывающем окне информации требованиям ТЗ","tests","Fri Sep 12 20:25:56 UTC 2025","passed","Fri Sep 12 20:25:59 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При наведении на иконку i в правом верхнем углу каждого тарифа отображается всплывающее окно с описанием тарифа, описание тарифа соответствует ТЗ","5874","Проверка описания тарифа в сплывающем окне информации требованиям ТЗ","tests","Fri Sep 12 20:26:10 UTC 2025","passed","Fri Sep 12 20:26:15 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При переключении на вид маршрута Свой происходит смена активного таба и становятся активны типы передвижения (Машина, Пешком, Такси, Велосипед, Самокат, Драйв)","3092","Проверка смены активного таба на Свой и включение табов типа Машина, Пешком, Такси, Велосипед, Самокат, Драйв","tests","Fri Sep 12 20:28:57 UTC 2025","passed","Fri Sep 12 20:29:00 UTC 2025","TestRouteSelectionPage","test_route_selection_page","",""
"При вводе одинакового адреса в поля ""Откуда"" и ""Куда"" под выбором адресов отображается блок с выбором маршрута с текстом ""Авто Бесплатно В пути 0 мин.""","2490","Проверка отображения текста ""Авто Бесплатно В пути 0 мин."" в блоке выбора маршрута после ввода одинаковых адресов ОТКУДА и КУДА","tests","Fri Sep 12 20:28:44 UTC 2025","passed","Fri Sep 12 20:28:47 UTC 2025","TestRouteSelectionPage","test_route_selection_page","",""
"При наведении на иконку i в правом верхнем углу каждого тарифа отображается всплывающее окно с описанием тарифа, описание тарифа соответствует ТЗ","4407","Проверка описания тарифа в сплывающем окне информации требованиям ТЗ","tests","Fri Sep 12 20:25:48 UTC 2025","skipped","Fri Sep 12 20:25:52 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При вводе двух разных предустановленных адресов в поля ""Откуда"" и ""Куда"" под выбором адресов отображается блок с выбором маршрута","3317","Проверка отображения блока выбора маршрута после ввода адресов ОТКУДА и КУДА","tests","Fri Sep 12 20:28:38 UTC 2025","passed","Fri Sep 12 20:28:41 UTC 2025","TestRouteSelectionPage","test_route_selection_page","",""
"Нажать кнопку Детали в блоке Еще про поездку - Указана стоимость, которая была при выборе тарифа","31104","Проверка стоимости заказа в деталях заказа","tests","Fri Sep 12 20:27:20 UTC 2025","passed","Fri Sep 12 20:27:52 UTC 2025","TestRouteSelectionPage","test_order_taxi_page","",""
"При переключении между видами маршрута (Оптимальный/Быстрый) происходит смена активного таба и пересчет времени и стоимости маршрута","3690","Проверка смены активного таба на Оптимальный и пересчета времени и стоимости маршрута","tests","Fri Sep 12 20:28:50 UTC 2025","passed","Fri Sep 12 20:28:54 UTC 2025","TestRouteSelectionPage","test_route_selection_page","",""
